Marital_status,Course,Previous_qualification,Nacionality,Mothers_occupation,Fathers_occupation,Daytime_evening_attendance,Gender,Debtor,Tuition_fees_up_to_date,Scholarship_holder,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Application_order,Enrolled,Status
Single,Tourism,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,5,11.8,6,5,11.6,1,False,Graduate
Single,Management,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,Yes,5,5,15.0,5,5,15.2,1,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Other Situation,Other Situation,Daytime,Female,No,Yes,No,5,3,12.0,5,5,13.2,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,Yes,6,6,12.833333333333334,6,6,12.285714285714286,1,False,Graduate
Single,Tourism,Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,6,11.666666666666666,6,3,12.0,3,False,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,Daytime,Female,No,Yes,No,7,7,12.1625,8,8,13.825,4,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,6,13.833333333333334,6,6,14.555555555555555,2,False,Graduate
Single,Nursing,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,7,4,12.45,7,5,11.7,1,True,Dropout
Single,Advertising and Marketing Management,Technological specialization course,Portuguese,Unskilled Workers,Administrative staff,Daytime,Female,No,Yes,Yes,6,6,12.125,6,6,13.571428571428571,1,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Administrative staff,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,5,13.4,6,4,13.0,1,True,Graduate
Single,Agronomy,Secondary education,Portuguese,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,Yes,Yes,No,6,6,13.333333333333334,6,5,14.0,1,True,Graduate
Single,Management (evening attendance),Higher education : degree,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Female,No,Yes,No,15,11,11.454545454545457,13,11,11.545454545454543,1,False,Dropout
Single,Basic Education,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Student,Daytime,Female,No,No,Yes,6,4,12.0,6,3,10.0,1,False,Dropout
Divorced,Basic Education,Secondary education,Portuguese,Unskilled Workers,Armed Forces Professions,Daytime,Female,Yes,No,No,7,6,12.666666666666666,7,5,12.6,1,False,Dropout
Single,Advertising and Marketing Management,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Daytime,Female,No,Yes,No,6,6,12.666666666666666,6,6,13.77777777777778,1,False,Graduate
Single,Agronomy,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,18,18,11.88888888888889,13,13,11.461538461538462,1,False,Graduate
Single,Equinculture,Higher education : degree,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Communication Design,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,No,No,6,4,13.0,6,4,11.6,5,False,Dropout
Single,Nursing,Higher education : degree (1st cycle),Portuguese,Unskilled Workers,Administrative staff,Daytime,Female,No,Yes,No,7,7,16.885714285714283,8,8,15.744444444444444,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Administrative staff,Administrative staff,Evening,Female,No,Yes,No,6,6,12.5,6,6,12.333333333333334,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,Yes,7,7,13.055555555555555,8,8,15.8125,1,False,Graduate
Single,Animation and Multimedia Design ,Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,No,No,0,0,0.0,0,0,0.0,3,False,Dropout
Single,Equinculture,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,Daytime,Female,Yes,Yes,Yes,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,8,7,12.355714285714283,8,7,12.355714285714283,6,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Meal preparation assistants,"Unskilled workers in extractive industry, construction, manufacturing and transport",Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,7,5,11.98,7,5,11.98,3,True,Graduate
Single,Basic Education,Secondary education,Portuguese,cleaning workers,assembly workers,Daytime,Female,Yes,Yes,Yes,7,7,13.857142857142858,7,7,12.571428571428571,2,False,Graduate
Married,Social Service (evening attendance),Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Female,No,Yes,No,6,5,13.0,6,6,14.166666666666666,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Female,No,Yes,No,6,6,12.833333333333334,6,6,11.166666666666666,1,False,Graduate
Single,Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,5,4,11.0,5,5,13.2,3,True,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,8,7,12.357142857142858,8,7,12.357142857142858,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,8,7,13.857142857142858,8,7,13.857142857142858,6,False,Graduate
Single,Social Service,Higher education : degree,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,Yes,6,6,12.333333333333334,6,6,10.666666666666666,2,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,7,7,12.847142857142858,8,8,13.788888888888888,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,6,12.339999999999998,8,8,13.01875,2,False,Graduate
Single,Veterinary Nursing,Technological specialization course,Portuguese,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,5,12.666666666666666,6,4,11.75,1,True,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,6,13.833333333333334,6,6,12.5,1,False,Graduate
Single,Management,Secondary education,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,5,2,10.75,5,2,10.0,2,False,Dropout
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,4,13.25,6,4,10.25,5,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,8,8,13.73125,8,8,13.73125,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,13.333333333333334,6,3,12.666666666666666,4,False,Dropout
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,5,12.0,6,5,10.8,1,False,Dropout
Single,Social Service (evening attendance),Technological specialization course,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Evening,Female,No,Yes,No,9,9,10.88888888888889,8,6,11.333333333333334,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,7,7,13.025,8,8,13.811111111111112,3,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,No,6,6,13.0,6,6,14.166666666666666,2,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,5,11.8,6,5,12.0,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,8,7,12.042857142857144,8,7,12.042857142857144,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,6,5,12.2,6,4,13.0,2,True,Graduate
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,7,12.8375,8,8,15.5,1,False,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,cleaning workers,"Unskilled workers in extractive industry, construction, manufacturing and transport",Daytime,Female,Yes,Yes,Yes,7,7,11.0,8,7,11.7,1,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,6,6,13.5,6,5,14.0,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,6,6,12.125,6,6,12.714285714285714,5,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,8,7,12.62857142857143,8,7,12.62857142857143,5,False,Graduate
Single,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Administrative staff,Evening,Female,No,Yes,No,5,3,10.666666666666666,5,4,11.4,1,True,Dropout
Single,Social Service,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,5,11.2,6,5,11.6,3,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,Yes,6,6,12.666666666666666,6,6,11.833333333333334,1,False,Dropout
Married,Advertising and Marketing Management,Secondary education,Portuguese,Unskilled Workers,Student,Daytime,Female,Yes,No,No,6,4,13.5,6,0,0.0,1,False,Dropout
Single,Management,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,5,3,11.666666666666666,5,2,11.0,6,True,Dropout
Single,Management,Secondary education,Portuguese,Administrative staff,Unskilled Workers,Daytime,Female,No,Yes,No,5,2,10.5,5,3,12.333333333333334,1,True,Dropout
Single,Nursing,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,8,8,14.26875,8,8,14.26875,3,True,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,Yes,No,No,6,0,0.0,6,0,0.0,2,False,Dropout
Single,Management,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,5,2,10.5,5,3,13.333333333333334,1,True,Dropout
Single,Social Service,Secondary education,Portuguese,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,5,11.2,6,1,10.0,1,True,Dropout
Married,Management (evening attendance),Higher education : degree,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Female,No,Yes,No,5,5,12.0,5,5,14.833333333333334,1,False,Graduate
Single,Oral Hygiene,Secondary education,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,7,7,12.228571428571428,8,8,13.2125,2,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Female,No,Yes,No,5,4,11.5,5,4,10.75,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Student,Daytime,Female,No,Yes,No,6,6,15.375,6,6,16.428571428571427,1,False,Graduate
Single,Veterinary Nursing,Professional higher technical course,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,No,No,12,9,13.666666666666666,9,6,13.5,1,True,Dropout
Single,Nursing,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Administrative staff,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,8,7,12.614285714285714,8,7,12.614285714285714,1,False,Graduate
Single,Social Service,Technological specialization course,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,Daytime,Female,No,Yes,Yes,6,5,12.2,6,6,11.5,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,No,6,4,11.75,6,4,11.0,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,Yes,Yes,Yes,6,5,11.4,6,3,10.0,4,True,Dropout
Single,Social Service,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,Daytime,Female,Yes,Yes,No,6,5,10.6,6,2,10.0,1,True,Dropout
Single,Social Service (evening attendance),Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Evening,Female,No,Yes,No,16,13,10.923076923076923,13,11,11.454545454545457,1,False,Graduate
Single,Communication Design,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,Daytime,Female,No,Yes,No,6,5,12.4,6,5,12.4,1,False,Graduate
Single,Agronomy,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Single,Agronomy,Technological specialization course,Portuguese,Administrative staff,Specialists in Intellectual and Scientific Activities,Daytime,Female,No,Yes,No,6,6,15.833333333333334,6,6,15.5,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Meal preparation assistants,"Unskilled workers in extractive industry, construction, manufacturing and transport",Daytime,Female,No,Yes,No,7,5,11.8,7,6,11.708333333333334,1,True,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Female,No,Yes,No,6,6,12.571428571428571,6,6,13.666666666666666,4,False,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Student,Student,Daytime,Female,No,Yes,No,5,3,12.0,5,4,13.25,3,False,Graduate
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,7,7,13.3625,8,8,14.444444444444445,3,False,Graduate
Single,Veterinary Nursing,Secondary education,Dutch,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,No,Yes,Yes,5,5,15.4,5,5,16.0,1,False,Graduate
Single,Journalism and Communication,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Female,Yes,No,No,6,5,12.2,6,4,11.75,2,False,Dropout
Single,Social Service,Technological specialization course,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,11,11,12.818181818181818,11,11,13.545454545454543,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Administrative staff,Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,7,0,0.0,8,0,0.0,5,False,Dropout
Single,Nursing,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,17,17,13.394736842105264,17,17,13.554736842105264,1,False,Graduate
Single,Social Service,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,Yes,6,6,14.25,6,6,11.0,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Other Situation,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Female,No,Yes,No,11,9,13.444444444444445,7,7,14.714285714285714,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,Yes,7,7,12.285714285714286,8,8,11.7375,4,False,Graduate
Single,Communication Design,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Daytime,Female,No,Yes,No,6,6,11.666666666666666,6,5,13.2,2,False,Graduate
Single,Tourism,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,Daytime,Female,No,Yes,No,6,6,12.166666666666666,6,6,13.5,1,False,Graduate
Single,Basic Education,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,2,10.0,6,2,11.0,1,False,Dropout
Single,Communication Design,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,6,14.0,6,6,15.0,4,False,Graduate
Single,Basic Education,Secondary education,Portuguese,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Female,No,Yes,No,6,5,11.833333333333334,6,4,12.0,1,True,Dropout
Married,Journalism and Communication,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Student,Student,Daytime,Male,Yes,No,No,6,1,15.0,5,0,0.0,1,False,Dropout
Single,Animation and Multimedia Design ,Secondary education,Brazilian,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,No,Yes,Yes,0,0,0.0,0,0,0.0,1,False,Graduate
Single,Tourism,Secondary education,Brazilian,Unskilled Workers,Unskilled Workers,Daytime,Female,No,Yes,No,6,6,10.833333333333334,6,6,10.666666666666666,2,False,Graduate
Single,Social Service,Technological specialization course,Brazilian,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Female,Yes,Yes,Yes,6,6,13.142857142857142,6,6,14.0,1,False,Graduate
Single,Veterinary Nursing,Secondary education,Portuguese,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",Daytime,Female,Yes,No,Yes,5,5,14.4,5,5,14.0,4,False,Dropout
Divorced,Social Service,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,Armed Forces Professions,Daytime,Female,No,No,No,6,0,0.0,6,0,0.0,1,False,Dropout
Divorced,Agronomy,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,12,7,12.0,12,9,11.22222222222222,1,False,Graduate
Married,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Male,No,Yes,No,10,9,12.2,10,10,12.8,1,False,Graduate
Single,Veterinary Nursing,Technological specialization course,Portuguese,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,Daytime,Male,No,No,No,3,3,12.333333333333334,2,2,11.0,1,False,Dropout
Single,Nursing,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Male,No,Yes,No,7,7,11.8375,8,8,12.48125,3,False,Graduate
Widower,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Specialists in Intellectual and Scientific Activities,Evening,Male,No,Yes,No,5,5,11.8,5,5,14.0,1,False,Graduate
Divorced,Management,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,Yes,No,No,5,0,0.0,5,0,0.0,2,False,Dropout
Divorced,Equinculture,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,Administrative staff,Daytime,Male,No,Yes,No,6,0,0.0,6,0,0.0,1,False,Dropout
Married,Agronomy,Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,19,19,12.68421052631579,13,13,12.384615384615383,1,False,Graduate
Single,Tourism,Secondary education,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Male,No,Yes,No,6,6,12.571428571428571,6,4,13.0,1,True,Graduate
Single,Biofuel Production Technologies,Secondary education,Brazilian,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Male,Yes,No,No,7,3,11.25,7,0,0.0,1,False,Dropout
Married,Equinculture,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Specialists in Intellectual and Scientific Activities,Unskilled Workers,Daytime,Male,No,Yes,No,5,4,14.0,5,4,15.5,1,False,Graduate
Single,Management,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Daytime,Male,Yes,Yes,No,5,4,13.333333333333334,5,2,13.5,1,False,Dropout
Married,Social Service (evening attendance),Secondary education,Portuguese,Student,Student,Evening,Male,No,Yes,No,6,6,13.666666666666666,6,6,13.666666666666666,1,False,Graduate
Single,Tourism,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Male,No,Yes,No,6,3,10.0,6,5,10.8,1,True,Dropout
Single,Agronomy,Technological specialization course,Portuguese,Unskilled Workers,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Daytime,Male,No,Yes,No,6,5,12.6,6,6,11.714285714285714,1,False,Graduate
Single,Informatics Engineering,Secondary education,Portuguese,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,5,3,17.333333333333332,5,1,17.0,1,False,Dropout
Single,Veterinary Nursing,Technological specialization course,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,No,No,No,6,5,13.2,6,3,12.0,1,True,Dropout
Married,Management,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Unskilled Workers,Intermediate Level Technicians and Professions,Daytime,Male,No,Yes,No,5,3,14.0,5,3,13.666666666666666,1,False,Dropout
Single,Oral Hygiene,Higher education : master's,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Male,No,Yes,No,4,4,13.875,1,1,12.5,1,False,Dropout
Married,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Social Service,Other : 11th year of schooling,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,9,9,13.11111111111111,7,7,14.857142857142858,1,False,Graduate
Facto Union,Management (evening attendance),Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Male,No,Yes,Yes,5,5,13.0,5,4,13.333333333333334,1,False,Dropout
Married,Social Service (evening attendance),Secondary education,Portuguese,Administrative staff,Installation and Machine Operators and Assembly Workers,Evening,Male,No,Yes,No,10,10,12.5,7,7,12.142857142857142,1,False,Graduate
Married,Agronomy,Secondary education,Portuguese,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,No,Yes,No,18,18,14.11111111111111,13,13,14.23076923076923,1,False,Graduate
Married,Tourism,Secondary education,Portuguese,Unskilled Workers,Unskilled Workers,Daytime,Male,No,Yes,No,11,11,14.727272727272728,9,9,15.77777777777778,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",Evening,Male,Yes,No,No,6,0,0.0,5,0,0.0,1,False,Dropout
Married,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Other Situation,Other Situation,Evening,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Single,Informatics Engineering,Secondary education,Portuguese,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Daytime,Male,Yes,No,No,5,0,0.0,5,0,0.0,1,False,Dropout
Married,Veterinary Nursing,Secondary education,Portuguese,Other Situation,Other Situation,Daytime,Male,No,Yes,No,5,4,13.5,5,5,11.6,1,False,Graduate
Single,Nursing,Secondary education,Portuguese,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,Daytime,Male,No,Yes,No,8,7,13.105714285714283,8,7,13.105714285714283,1,False,Graduate
Married,Veterinary Nursing,Secondary education,Portuguese,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Daytime,Male,No,Yes,No,5,5,13.5,5,5,14.4,1,False,Graduate
Single,Social Service (evening attendance),Secondary education,Portuguese,Administrative staff,Armed Forces Professions,Evening,Male,No,Yes,No,13,13,11.846153846153848,11,11,12.0,1,False,Graduate
Single,Equinculture,12th year of schooling : not completed,Portuguese,Student,Other Situation,Daytime,Male,No,Yes,No,5,0,0.0,5,0,0.0,1,False,Dropout
Divorced,Advertising and Marketing Management,Secondary education,Portuguese,Intermediate Level Technicians and Professions,Unskilled Workers,Daytime,Male,Yes,No,No,6,3,14.333333333333334,6,0,0.0,1,False,Dropout
Married,Management (evening attendance),Frequency of higher education,Portuguese,Unskilled Workers,Unskilled Workers,Evening,Male,No,Yes,No,5,5,15.8,5,5,17.6,1,True,Graduate
Single,Advertising and Marketing Management,Secondary education,Portuguese,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,Daytime,Male,No,Yes,No,6,5,13.8,6,5,12.4,1,True,Graduate
Single,Biofuel Production Technologies,Basic education 3rd cycle (9th/10th/11th year) or equiv.,Portuguese,Administrative staff,Administrative staff,Daytime,Male,Yes,Yes,No,10,6,12.666666666666666,9,3,12.0,1,False,Dropout
Single,Tourism,Secondary education,Portuguese,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",Daytime,Male,No,Yes,No,6,6,13.0,6,6,12.0,1,True,Graduate
